,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,image,style,review_clean
0,98706,5,True,"02 19, 2018",AAEJWR4D2AJSM,B013OY25GA,enchanting,"Very good, as always. These are a great snack on the go.",Five Stars,1518998400,,,,go always great snack good
1,119050,3,True,"08 16, 2016",A2NY96338STRE5,B01FUD39Y0,Josh,"Nothing to get excited over, on a restricted diet though it will do in a pinch!",They are ok.,1471305600,,,,though get nothing restrict excite diet pinch
2,26858,5,True,"06 15, 2017",A3PD8JD9L4WEII,B00HZYC69W,Bron,"Excellent tea. Pure, fresh flavors. I have tried nearly all of the various flavors and they have all been good. The Lemon flavor is nice, natural flavors, not too much lemon, great tea flavors. My favorites are the Peach and Raspberry, but the Lemon is very good as well. I buy these all the time now and very happy with them.",Excellent!,1497484800,,,,nice favorite good fresh tea flavor much great natural time try happy excellent flavor raspberry nearly various buy well pure lemon peach
3,126613,5,True,"07 30, 2017",A1NT1FM5QPYCL0,B00SWRZ8NW,J. Vain,"Good value, love that there are freezer containers. They hold up much better than the regular storage that tends to crack.",Nice assortment,1501372800,,,,regular container good tends much storage freezer well value crack love hold
4,51583,5,True,"08 8, 2017",A394BHMB40JFXS,B00OKEV3ZS,The Laura Customer,Great stuff. Add chicken and rice. Or not.,Great stuff,1502150400,,,,add great rice stuff chicken
5,14119,5,True,"10 5, 2015",ACCPG1KX5LXEY,B0014CW3BC,LVines,"We keep Pepto in our fridge all the time.  While the taste isn't bad, it isn't the best, being cold is just better, especially if you are nauseated, but it WORKS.  Indigestion,upset tummies are all better after you get  dose of the ""pink stuff"".","The ""Pink Stuff""",1444003200,5.0,,,"get nauseate dose pink indigestion,upset tummy cold taste best stuff time well especially fridge pepto bad work keep"
6,58143,5,True,"03 15, 2015",ATK78V8FSA47X,B00QTX0D18,G. Allen,"I have to remember when I order a pantry box to make sure any canned, bottled or non food items need to be in one order, and soft things, or boxed items like cereals in another.  Amazon ""packs"" the boxes as they stand and gives no thought to the fact they are going to be seriously manhandled in shipping. The few inserts of paper or air bags shift quickly and the items are then left to their own devices.  This pantry box had a container of Coffee Mate powder lose it's top and what a mess that was to clean.  Everything wreaks of it, and a container purchased lost.  The mini wheats are fine, as expected.  Ordered more, but all cereals and on prime in quantity, not prime pantry.",or boxed items like cereals in another,1426377600,,,,insert box air think like order mess order need fine can cereal soft shift bottle manhandled wheat sure mate device clean box leave quantity food thing one fact boxed pack wreak pantry go seriously lose give quickly amazon non item prime remember purchase top everything paper powder mini bag make container expect another shipping lose coffee stand
7,136514,3,False,"07 30, 2016",A2QDOJFFLFGF18,B01D8J9K96,michael alexander,"This product is supposed to help maintain healthy blood sugar levels..... however, it's more Metamucil than anything else, which is a good thing for your digestion... you have to mix and drink quickly, since it clumps and becomes gelatinous like any high fiber drink.... haven't seen any discernible change in blood sugar, but I have feel a little better using it, so that's a plus.....",Decent dietary supplement,1469836800,,,,else mix high fiber good thing quickly change plus since feel becomes blood clump like help well however little discernible see that's level use sugar gelatinous product suppose maintain metamucil anything healthy drink digestion
8,87794,4,True,"04 25, 2017",A1BB6WB2U9XXT1,B00ZQQLKCA,Love2Shop,"I have a lot of neck pain from degenerative arthritis & a chronic neurologic condition. I was excited to try these heat therapy patches, and overall I'm happy with them. I like the way they are designed to sit around/over the neck and they do cover both sides and back of the neck area. It seemed to take quite some time for the pad to reach a good level of warmth, but that warmth did last for several hours. My biggest issue is that the pad only has sticky-tabs on the very ends of the wrap, and no adhesive in between or even at the centre point. As the pad sits curved around the neck, I assume it's believed this shape would help hold the pad in place. It does this to a point, but if you move around much, the pad can lift away slightly and I found this annoying.  It helped ease my neck tension & accompanying pain somewhat, and did target this tricky-to-heat area reasonably well. Not a bad price point when I purchased. I would buy again.",Not as hot as I'd like but worked quite well.,1493078400,,,,away move heat much ease quite somewhat way excited pad like hour level accompany wrap try warmth area hold last chronic several shape take curve slightly therapy arthritis pain happy around/over find seem adhesive help lot issue back annoy lift place point good side target price neck help time purchase condition would buy bad tricky-to-heat centre end even reasonably sit big neurologic reach design i'm around overall degenerative cover tension believe patch assume sits well sticky-tabs
9,115187,5,True,"01 29, 2017",A1SO6HK5RUO2OY,B01C5IF8MY,Michelle Johnson,very sturdy scissors,Five Stars,1485648000,,,,scissors sturdy
